Symbol_1,Symbol_2,Symbol_1_Name,Symbol_2_Name,Price_Correlation,Returns_Correlation,Correlation_Strength
BTC,BTC,Bitcoin,Bitcoin,1.0,1.0,Strong
BTC,ETH,Bitcoin,Ethereum,0.8288269081390327,0.7928294779770712,Strong
BTC,BNB,Bitcoin,Binance Coin,0.8261016788013101,-0.020182987374339795,Strong
BTC,ADA,Bitcoin,Cardano,0.18222559802266605,-0.01880105757123337,Weak
BTC,SOL,Bitcoin,Solana,0.6144429886761587,-0.017660747325275557,Medium
ETH,BTC,Ethereum,Bitcoin,0.8288269081390327,0.7928294779770712,Strong
ETH,ETH,Ethereum,Ethereum,1.0,1.0,Strong
ETH,BNB,Ethereum,Binance Coin,0.8634222358067681,-0.02651325539736641,Strong
ETH,ADA,Ethereum,Cardano,0.47629675502224,-0.02514531541546717,Medium
ETH,SOL,Ethereum,Solana,0.7676807388190563,-0.03273141744573734,Strong
BNB,BTC,Binance Coin,Bitcoin,0.8261016788013101,-0.020182987374339795,Strong
BNB,ETH,Binance Coin,Ethereum,0.8634222358067681,-0.02651325539736641,Strong
BNB,BNB,Binance Coin,Binance Coin,1.0,1.0,Strong
BNB,ADA,Binance Coin,Cardano,0.3675789428257237,0.6618320789382397,Medium
BNB,SOL,Binance Coin,Solana,0.5729260122834692,0.6726755696691334,Medium
ADA,BTC,Cardano,Bitcoin,0.18222559802266605,-0.01880105757123337,Weak
ADA,ETH,Cardano,Ethereum,0.47629675502224,-0.02514531541546717,Medium
ADA,BNB,Cardano,Binance Coin,0.3675789428257237,0.6618320789382397,Medium
ADA,ADA,Cardano,Cardano,1.0,1.0,Strong
ADA,SOL,Cardano,Solana,0.6128464047714762,0.8006129549640604,Medium
SOL,BTC,Solana,Bitcoin,0.6144429886761587,-0.017660747325275557,Medium
SOL,ETH,Solana,Ethereum,0.7676807388190563,-0.03273141744573734,Strong
SOL,BNB,Solana,Binance Coin,0.5729260122834692,0.6726755696691334,Medium
SOL,ADA,Solana,Cardano,0.6128464047714762,0.8006129549640604,Medium
SOL,SOL,Solana,Solana,1.0,1.0,Strong
