symbol,interval,records,date_start,date_end,avg_price,min_price,max_price,price_volatility,avg_volume,total_return,missing_values
BTC,5m,51840,1970-01-01,1970-01-01 00:00:00.000051839,98365.09143209876,74610.0,122908.93,11391.508778447103,77.07528230617284,12.913963276644559,183
BTC,1h,4320,1970-01-01,1970-01-01 00:00:00.000004319,98361.24365509259,74810.01,122736.04,11395.396950739438,924.9037902435185,13.135340459228972,183
ETH,5m,51840,1970-01-01,1970-01-01 00:00:00.000051839,2399.1566703317903,1397.85,3938.99,540.130572692268,2216.010416539352,21.50913358633897,183
ETH,1h,4320,1970-01-01,1970-01-01 00:00:00.000004319,2399.0459537037036,1418.8,3929.8,540.4115278242942,26592.126448726853,20.978093672094623,183
BNB,5m,51840,1970-01-01,1970-01-01 00:00:00.000051839,639.0327765721452,512.91,845.1474999999998,50.53480240689356,996.1410204147377,22.110114782917,183
BNB,1h,4320,1970-01-01,1970-01-01 00:00:00.000004319,639.0324866898148,518.35,844.5124999999999,50.67756346633776,11952.791623217594,21.842213839443602,183
ADA,5m,51840,1970-01-01,1970-01-01 00:00:00.000051839,0.7106180478395061,0.5125,1.1319,0.0921049075037464,648105.896415895,-15.844264001665632,183
ADA,1h,4320,1970-01-01,1970-01-01 00:00:00.000004319,0.7104978877314815,0.5161,1.1299750000000002,0.09195823054481932,7776773.081504629,-16.107939802802285,183
SOL,5m,51840,1970-01-01,1970-01-01 00:00:00.000051839,155.75151986882716,95.72,244.33,25.03697446350621,13413.639936053243,-22.043551088777225,183
SOL,1h,4320,1970-01-01,1970-01-01 00:00:00.000004319,155.724974537037,97.14,243.21,24.99998405369808,160944.95608819445,-22.563206919494338,183
